Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-5.45801935526447E-05,-0.0110247907188572,0.0088125876403433,0,0,0,0.012387657190352,1.51042579190101E-06,3.83271668599102E-10,3.17501476370415E-08,1.63821525873548E-06,-6.58141062077595E-09,1.47727515452876E-06,0,0,0,0,0,0,package://V6 26.8.4/meshes/base_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://V6 26.8.4/meshes/base_link.STL,,Holder-1;GBT70.1-01-16;GBT70.1-01-13;GBT70.1-01-14;GBT70.1-01-15;GBT70.1-01-12,Basic,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Left_hand_palm_link,-0.0105104200737097,-0.000797446312279767,0.00612202489956486,0,0,0,0.0907910801660184,3.05135999171331E-05,-4.663138454976E-08,-1.29497199547911E-08,1.28971064677413E-05,1.63326235568655E-06,1.973612824177E-05,0,0,0,0,0,0,package://V6 26.8.4/meshes/Left_hand_palm_link.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://V6 26.8.4/meshes/Left_hand_palm_link.STL,,Board of palw-1;3rd Thumb of V6-1/X20S-UZ-8;3rd Thumb of V6-1/Thumb 1st motor fixed block-2;Sensor support board-1;Heat transfer block-1;分液器^V6 26.8.4-2-1/1分5 焊接-2/1分5 底座-1;分液器^V6 26.8.4-2-1/1分5 焊接-2/1分5 进口-1;分液器^V6 26.8.4-2-1/1分5 焊接-1/1分5 进口-1;分液器^V6 26.8.4-2-1/1分5 焊接-1/1分5 底座-1;M2X6梅花头扁头螺钉YJT4028-8;M2X6梅花头扁头螺钉YJT4028-7;M2X4梅花头扁头螺钉YJT4028-5;Support pillar-4;V6 pinkdy finger-1/A3F3连杆-1;V6 pinkdy finger-1/A3F3V1动子7.19-1;V6 finger-2/A3F3V1动子7.19-1;V6 finger-2/A3F3连杆-1;V6 mid-finger-1/A3F3连杆-1;V6 mid-finger-1/A3F3V1动子7.19-1;V6 finger-3/A3F3连杆-1;V6 finger-3/A3F3V1动子7.19-1;V6 finger-3/A3F3V1装配体_定子S2 增加侧面固定孔-1;V6 mid-finger-1/A3F3V1装配体_定子S2 增加侧面固定孔-1;V6 finger-2/A3F3V1装配体_定子S2 增加侧面固定孔-1;V6 pinkdy finger-1/A3F3V1装配体_定子S2 增加侧面固定孔-1;PCB 26.7.31-1;M2X5-3.5-4;M1.6X5梅花头扁头螺钉-11;Support pillar-3;M2X6梅花头扁头螺钉YJT4028-1;M1.6X5梅花头扁头螺钉-14;M1.6X5梅花头扁头螺钉-9;M2X5-3.5-1;Support pillar-1;M1.6X5梅花头扁头螺钉-8;M2X6梅花头扁头螺钉YJT4028-4;M1.6X5梅花头扁头螺钉-10;M1.6X5梅花头扁头螺钉-4;M1.6X5梅花头扁头螺钉-5;M2X5-3.5-2;M2X5-3.5-3;M1.6X5梅花头扁头螺钉-16;M1.6X5梅花头扁头螺钉-17;M2X6梅花头扁头螺钉YJT4028-6;M2X6梅花头扁头螺钉YJT4028-5;M1.6X5梅花头扁头螺钉-2;M1.6X5梅花头扁头螺钉-3;M1.6X5梅花头扁头螺钉-12;M1.6X5梅花头扁头螺钉-1;M1.6X5梅花头扁头螺钉-13;M1.6X5梅花头扁头螺钉-7;M1.6X5梅花头扁头螺钉-6;M1.6X5梅花头扁头螺钉-15,h0,a2,Left_hand_palm_joint,fixed,0.0237000000003022,0.00650000000000002,0.0441380069844003,0,0,0,base_link,0,0,0,,,,,,,,,,,,
left_hand_thumb_rota_block_link,-0.0081091890977525,-0.0166552009701016,0.00358447642057301,0,0,0,0.00865512942081214,5.67471832964979E-07,-9.74374739280003E-08,6.3352070838347E-09,4.25175020936526E-07,9.39091354389627E-09,6.18917032253273E-07,0,0,0,0,0,0,package://V6 26.8.4/meshes/left_hand_thumb_rota_block_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://V6 26.8.4/meshes/left_hand_thumb_rota_block_link.STL,,3rd Thumb of V6-1/Thumb connect block of 20&20 motor-1;3rd Thumb of V6-1/X20S-UZ-7,lt1,b1,left_hand_thumb_rota_block_joint,revolute,0.023016,-0.016557,0.027044,0.21179,-0.35532,0,base_link,0,0,1,0,0,0,2.09,,,,,,,,
left_hand_thumb_rotaback_link2,0.00710560731392272,-0.00429864829911296,0.0251954630676266,0,0,0,0.00842253640257266,7.12548917463079E-07,-2.93787246338036E-08,1.0166201067924E-07,6.92248834686363E-07,6.25735671505774E-08,4.55398326089766E-07,0,0,0,0,0,0,package://V6 26.8.4/meshes/left_hand_thumb_rotaback_link2.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://V6 26.8.4/meshes/left_hand_thumb_rotaback_link2.STL,,3rd Thumb of V6-1/Thumb rota motor % liner motor connect block-1;3rd Thumb of V6-1/Thumb 3rd finger A3F2-1;3rd Thumb of V6-1/Thumb 2nd A3F2 link-1;3rd Thumb of V6-1/A3F2V1动子7.19-1,lt2,b2,left_hand_thumb_rotaback_joint2,revolute,-0.0091878,-0.019669,-0.00042716,0,0,-0.18194,left_hand_thumb_rota_block_link,1,0,0,0,0,0,1.74,,,,,,,,
left_hand_thumb_MCP_link,-0.00539884515997699,0.00117525741852363,0.00902959097196688,0,0,0,0.0025818077713704,9.68410621294467E-08,3.62797043167046E-09,1.33110879954133E-08,1.21527937220383E-07,-1.26418220649184E-08,6.67579366433222E-08,0,0,0,0,0,0,package://V6 26.8.4/meshes/left_hand_thumb_MCP_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://V6 26.8.4/meshes/left_hand_thumb_MCP_link.STL,,3rd Thumb of V6-1/Thumb finger PIP motor support block-1;3rd Thumb of V6-1/方形电子皮肤组件0715-3;3rd Thumb of V6-1/16 motor 26.7.24 v2-1,lt3,b3,left_hand_thumb_MCP_joint,revolute,0.014465,-0.0025468,0.051604,0.11119,-0.069483,0.55631,left_hand_thumb_rotaback_link2,0,1,0,0,0,0,1.57,,,,,,,,
left_hand_thumb_PIP_link,0.0039961643653597,-0.00194896150100753,0.0143989856290465,0,0,0,0.00252070024750187,5.64281892389428E-08,-9.30438740498146E-09,-3.44228157246497E-09,5.11611367589714E-08,-2.66663598571448E-09,4.41960468737019E-08,0,0,0,0,0,0,package://V6 26.8.4/meshes/left_hand_thumb_PIP_link.STL,1,1,1,1,0,0,0,0,0,0,package://V6 26.8.4/meshes/left_hand_thumb_PIP_link.STL,,3rd Thumb of V6-1/Flange of 16 motor-1;3rd Thumb of V6-1/Tip sensor bracket-1;3rd Thumb of V6-1/方形电子皮肤组件0715-2,lt4,b4,left_hand_thumb_PIP_joint,revolute,-0.0084,0,0.0241,0,0,0,left_hand_thumb_MCP_link,0,1,0,0,0,0,1.57,,,,,,,,
left_hand_index_MCP_link,-0.00838597586363597,-9.4400391846064E-06,0.00255610510478887,0,0,0,0.00194176297343338,5.39479259415642E-08,1.32587370326615E-10,-3.45325674495286E-09,5.6376432870685E-08,-2.91581542130027E-11,8.57569207067465E-08,0,0,0,0,0,0,package://V6 26.8.4/meshes/left_hand_index_MCP_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://V6 26.8.4/meshes/left_hand_index_MCP_link.STL,,V6 finger-3/超薄集成模组 - 轴承优化-外包络2-1;V6 finger-3/V6弯曲底座-1,li1,c1,left_hand_index_MCP_joint,revolute,0.0271,-0.027373,0.086723,0.10917,0,0,base_link,0,1,0,0,0,0,1.57,,,,,,,,
left_hand_index_swing_link,0.00642895640513621,-1.93470053506846E-05,0.0242658514938622,0,0,0,0.00586436089048138,3.17901536054541E-07,-7.09237363674013E-11,-2.93938776180428E-09,2.71007091896027E-07,-7.31725604849389E-10,2.02677692152602E-07,0,0,0,0,0,0,package://V6 26.8.4/meshes/left_hand_index_swing_link.STL,1,1,1,1,0,0,0,0,0,0,package://V6 26.8.4/meshes/left_hand_index_swing_link.STL,,V6 finger-3/A3F2V1动子7.19-1;V6 finger-3/A3F2连杆-1;V6 finger-3/A3F2V1装配体_定子S2(1)-1,li2,c2,left_hand_index_swing_joint,revolute,-0.0134,0,0.01,0,0,0,left_hand_index_MCP_link,1,0,0,0,0,-0.35,0.35,,,,,,,,
left_hand_index_PIP_link,-0.00519846789798873,0.00133142397424001,0.0123873147470033,0,0,0,0.00135423305888705,5.51372379220848E-08,1.35942355013709E-09,5.78437622127743E-09,6.51024169832911E-08,-5.38624933576227E-09,3.24119634396359E-08,0,0,0,0,0,0,package://V6 26.8.4/meshes/left_hand_index_PIP_link.STL,1,1,1,1,0,0,0,0,0,0,package://V6 26.8.4/meshes/left_hand_index_PIP_link.STL,,V6 finger-3/方形电子皮肤组件0715-1;V6 finger-3/Index&ring finger PIP motor support block-1;V6 finger-3/16 motor 26.7.24 v2-1,li3,c3,left_hand_index_PIP_joint,revolute,0.0156,0,0.041,0,0,0,left_hand_index_swing_link,0,1,0,0,0,0,1.57,,,,,,,,
left_hand_index_DIP_link,0.00285450020497824,-0.00194421138982901,0.0147013999625498,0,0,0,0.00252069955577834,5.68909919790608E-08,-9.06654499316588E-09,-2.43962187421877E-09,5.11607020904733E-08,-3.38820365001122E-09,4.37328090513922E-08,0,0,0,0,0,0,package://V6 26.8.4/meshes/left_hand_index_DIP_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://V6 26.8.4/meshes/left_hand_index_DIP_link.STL,,V6 finger-3/Tip sensor bracket-1;V6 finger-3/Flange of 16 motor-1;V6 finger-3/方形电子皮肤组件0715-3,li4,c4,left_hand_index_DIP_joint,revolute,-0.0084,0,0.0261,0,0,0,left_hand_index_PIP_link,0,1,0,0,0,0,1.57,,,,,,,,
